Code,Indicator Name,Long definition,Source
LO.PISA.REA.MA,PISA: Mean performance on the reading scale. Male,"Average score of 15-year-old male students on the PISA reading scale. The metric for the overall reading scale is based on a mean for participating OECD countries set at 500, with a standard deviation of 100. Data reflects country performance in the stated year according to PISA reports, but may not be comparable across years or countries. Consult the PISA website for more detailed information: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA)
LO.PISA.SCI,PISA: Mean performance on the science scale,"Average score of 15-year-old students on the PISA science scale. In PISA 2006 the mean science score for OECD countries was initially set at 500 points (for 30 OECD countries), then was re-set at 498 points after taking into account new OECD countries. Data reflects country performance in the stated year according to PISA reports, but may not be comparable across years or countries. Consult the PISA website for more detailed information: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA)
LO.PISA.SCI.FE,PISA: Mean performance on the science scale. Female,"Average score of 15-year-old female students on the PISA science scale. In PISA 2006 the mean science score for OECD countries was initially set at 500 points (for 30 OECD countries), then was re-set at 498 points after taking into account new OECD countries. Data reflects country performance in the stated year according to PISA reports, but may not be comparable across years or countries. Consult the PISA website for more detailed information: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA)
LO.PISA.SCI.MA,PISA: Mean performance on the science scale. Male,"Average score of 15-year-old male students on the PISA science scale. In PISA 2006 the mean science score for OECD countries was initially set at 500 points (for 30 OECD countries), then was re-set at 498 points after taking into account new OECD countries. Data reflects country performance in the stated year according to PISA reports, but may not be comparable across years or countries. Consult the PISA website for more detailed information: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA)
SP.POP.GROW,Population growth (annual %),"Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
UIS.SAP.CE,"Population of compulsory school age, both sexes (number)",Population of children within the age span that children are legally obliged to attend school.,UNESCO Institute for Statistics
UIS.SAP.CE.F,"Population of compulsory school age, female (number)",Population of female children within the age span that children are legally obliged to attend school.,UNESCO Institute for Statistics
UIS.SAP.CE.M,"Population of compulsory school age, male (number)",Population of male children within the age span that children are legally obliged to attend school.,UNESCO Institute for Statistics
SP.SEC.LTOT.IN,"Population of the official age for lower secondary education, both sexes (number)",Population of the age-group theoretically corresponding to lower secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.LTOT.FE.IN,"Population of the official age for lower secondary education, female (number)",Female population of the age-group theoretically corresponding to lower secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.LTOT.MA.IN,"Population of the official age for lower secondary education, male (number)",Male population of the age-group theoretically corresponding to lower secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.4,"Population of the official age for post-secondary non-tertiary education, both sexes (number)",Population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.4.F,"Population of the official age for post-secondary non-tertiary education, female (number)",Female population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.4.M,"Population of the official age for post-secondary non-tertiary education, male (number)",Male population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRE.TOTL.IN,"Population of the official age for pre-primary education, both sexes (number)",Population of the age-group theoretically corresponding to pre-primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRE.TOTL.FE.IN,"Population of the official age for pre-primary education, female (number)",Female population of the age-group theoretically corresponding to pre-primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRE.TOTL.MA.IN,"Population of the official age for pre-primary education, male (number)",Male population of the age-group theoretically corresponding to pre-primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.TOTL.IN,"Population of the official age for primary education, both sexes (number)",Population of the age-group theoretically corresponding to primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.TOTL.FE.IN,"Population of the official age for primary education, female (number)",Female population of the age-group theoretically corresponding to primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.TOTL.MA.IN,"Population of the official age for primary education, male (number)",Male population of the age-group theoretically corresponding to primary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.TOTL.IN,"Population of the official age for secondary education, both sexes (number)",Population of the age-group theoretically corresponding to secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.TOTL.FE.IN,"Population of the official age for secondary education, female (number)",Female population of the age-group theoretically corresponding to secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.TOTL.MA.IN,"Population of the official age for secondary education, male (number)",Male population of the age-group theoretically corresponding to secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.TER.TOTL.IN,"Population of the official age for tertiary education, both sexes (number)",Population of the age-group theoretically corresponding to tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.TER.TOTL.FE.IN,"Population of the official age for tertiary education, female (number)",Female population of the age-group theoretically corresponding to tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.TER.TOTL.MA.IN,"Population of the official age for tertiary education, male (number)",Male population of the age-group theoretically corresponding to tertiary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.GRAD.TO,"Population of the official age for the last grade of primary education, both sexes (number)",Population of the age-group theoretically corresponding to the last grade of primary school as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.GRAD.FE,"Population of the official age for the last grade of primary education, female (number)",Female population of the age-group theoretically corresponding to the last grade of primary school as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.PRM.GRAD.MA,"Population of the official age for the last grade of primary education, male (number)",Male population of the age-group theoretically corresponding to the last grade of primary school as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.UTOT.IN,"Population of the official age for upper secondary education, both sexes (number)",Population of the age-group theoretically corresponding to upper secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.UTOT.FE.IN,"Population of the official age for upper secondary education, female (number)",Female population of the age-group theoretically corresponding to upper secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.SEC.UTOT.MA.IN,"Population of the official age for upper secondary education, male (number)",Male population of the age-group theoretically corresponding to upper secondary education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.1.G1,"Population of the official entrance age to primary education, both sexes (number)","Population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age.",UNESCO Institute for Statistics
UIS.SAP.1.G1.F,"Population of the official entrance age to primary education, female (number)","Female population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age.",UNESCO Institute for Statistics
UIS.SAP.1.G1.M,"Population of the official entrance age to primary education, male (number)","Male population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age.",UNESCO Institute for Statistics
UIS.SAP.23.GPV.G1,"Population of the official entrance age to secondary general education, both sexes (number)",Population of the age-group theoretically corresponding to secondary general education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.23.GPV.G1.F,"Population of the official entrance age to secondary general education, female (number)",Female population of the age-group theoretically corresponding to secondary general education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
UIS.SAP.23.GPV.G1.M,"Population of the official entrance age to secondary general education, male (number)",Male population of the age-group theoretically corresponding to secondary general education as indicated by theoretical entrance age and duration.,UNESCO Institute for Statistics
SP.POP.AG00.FE.UN,"Age population, age 0, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG00.MA.UN,"Population, age 0, male","Population, age 0, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG00.TO.UN,"Age population, age 0, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG01.FE.UN,"Age population, age 01, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG01.MA.UN,"Population, age 1, male","Population, age 1, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG01.TO.UN,"Age population, age 01, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG10.FE.UN,"Age population, age 10, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG10.MA.UN,"Population, age 10, male","Population, age 10, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG10.TO.UN,"Age population, age 10, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG11.FE.UN,"Age population, age 11, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG11.MA.UN,"Population, age 11, male","Population, age 11, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG11.TO.UN,"Age population, age 11, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG12.FE.UN,"Age population, age 12, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG12.MA.UN,"Population, age 12, male","Population, age 12, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG12.TO.UN,"Age population, age 12, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG13.FE.UN,"Age population, age 13, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG13.MA.UN,"Population, age 13, male","Population, age 13, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG13.TO.UN,"Age population, age 13, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG14.FE.UN,"Age population, age 14, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG14.MA.UN,"Population, age 14, male","Population, age 14, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG14.TO.UN,"Age population, age 14, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG15.FE.UN,"Age population, age 15, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG15.MA.UN,"Population, age 15, male","Population, age 15, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG15.TO.UN,"Age population, age 15, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG16.FE.UN,"Age population, age 16, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG16.MA.UN,"Population, age 16, male","Population, age 16, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG16.TO.UN,"Age population, age 16, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG17.FE.UN,"Age population, age 17, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG17.MA.UN,"Population, age 17, male","Population, age 17, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG17.TO.UN,"Age population, age 17, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG18.FE.UN,"Age population, age 18, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG18.MA.UN,"Population, age 18, male","Population, age 18, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG18.TO.UN,"Age population, age 18, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG19.FE.UN,"Age population, age 19, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG19.MA.UN,"Population, age 19, male","Population, age 19, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG19.TO.UN,"Age population, age 19, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG02.FE.UN,"Age population, age 02, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG02.MA.UN,"Population, age 2, male","Population, age 2, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG02.TO.UN,"Age population, age 02, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG20.FE.UN,"Age population, age 20, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG20.MA.UN,"Population, age 20, male","Population, age 20, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG20.TO.UN,"Age population, age 20, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG21.FE.UN,"Age population, age 21, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG21.MA.UN,"Population, age 21, male","Population, age 21, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG21.TO.UN,"Age population, age 21, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG22.FE.UN,"Age population, age 22, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG22.MA.UN,"Population, age 22, male","Population, age 22, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG22.TO.UN,"Age population, age 22, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG23.FE.UN,"Age population, age 23, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG23.MA.UN,"Population, age 23, male","Population, age 23, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG23.TO.UN,"Age population, age 23, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG24.FE.UN,"Age population, age 24, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG24.MA.UN,"Population, age 24, male","Population, age 24, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG24.TO.UN,"Age population, age 24, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG25.FE.UN,"Age population, age 25, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG25.MA.UN,"Population, age 25, male","Population, age 25, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG25.TO.UN,"Age population, age 25, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG03.FE.UN,"Age population, age 03, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG03.MA.UN,"Population, age 3, male","Population, age 3, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG03.TO.UN,"Age population, age 03, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG04.FE.UN,"Age population, age 04, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG04.MA.UN,"Population, age 4, male","Population, age 4, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG04.TO.UN,"Age population, age 04, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG05.FE.UN,"Age population, age 05, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG05.MA.UN,"Population, age 5, male","Population, age 5, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG05.TO.UN,"Age population, age 05, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG06.FE.UN,"Age population, age 06, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG06.MA.UN,"Population, age 6, male","Population, age 6, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG06.TO.UN,"Age population, age 06, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG07.FE.UN,"Age population, age 07, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG07.MA.UN,"Population, age 7, male","Population, age 7, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG07.TO.UN,"Age population, age 07, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG08.FE.UN,"Age population, age 08, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG08.MA.UN,"Population, age 8, male","Population, age 8, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG08.TO.UN,"Age population, age 08, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG09.FE.UN,"Age population, age 09, female, UNESCO","Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.AG09.MA.UN,"Population, age 9, male","Population, age 9, male refers to the male population at the specified age.",UNESCO Institute for Statistics
SP.POP.AG09.TO.UN,"Age population, age 09, total, UNESCO","Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics.",UNESCO Institute for Statistics.
SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population.,World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects.
SP.POP.0014.FE.IN,"Population ages 0-14, female","Female population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.0014.MA.IN,"Population ages 0-14, male","Male population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.0014.TO,"Population ages 0-14, total","Total population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1014.FE.UN,"Population, ages 10-14, female","Population, ages 10-14, female is the total number of females age 10-14.",UNESCO Institute for Statistics (Derived)
SP.POP.1014.MA.UN,"Population, ages 10-14, male","Population, ages 10-14, male is the total number of males age 10-14.",UNESCO Institute for Statistics (Derived)
SP.POP.1014.TO.UN,"Population, ages 10-14, total","Population, ages 10-14, total is the total population age 10-14.",UNESCO Institute for Statistics (Derived)
SP.POP.1015.FE.UN,"Population, ages 10-15, female","Population, ages 10-15, female is the total number of females age 10-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1015.MA.UN,"Population, ages 10-15, male","Population, ages 10-15, male is the total number of males age 10-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1015.TO.UN,"Population, ages 10-15, total","Population, ages 10-15, total is the total population age 10-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1016.FE.UN,"Population, ages 10-16, female","Population, ages 10-16, female is the total number of females age 10-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1016.MA.UN,"Population, ages 10-16, male","Population, ages 10-16, male is the total number of males age 10-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1016.TO.UN,"Population, ages 10-16, total","Population, ages 10-16, total is the total population age 10-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1017.FE.UN,"Population, ages 10-17, female","Population, ages 10-17, female is the total number of females age 10-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1017.MA.UN,"Population, ages 10-17, male","Population, ages 10-17, male is the total number of males age 10-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1017.TO.UN,"Population, ages 10-17, total","Population, ages 10-17, total is the total population age 10-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1018.FE.UN,"Population, ages 10-18, female","Population, ages 10-18, female is the total number of females age 10-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1018.MA.UN,"Population, ages 10-18, male","Population, ages 10-18, male is the total number of males age 10-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1018.TO.UN,"Population, ages 10-18, total","Population, ages 10-18, total is the total population age 10-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1115.FE.UN,"Population, ages 11-15, female","Population, ages 11-15, female is the total number of females age 11-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1115.MA.UN,"Population, ages 11-15, male","Population, ages 11-15, male is the total number of males age 11-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1115.TO.UN,"Population, ages 11-15, total","Population, ages 11-15, total is the total population age 11-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1116.FE.UN,"Population, ages 11-16, female","Population, ages 11-16, female is the total number of females age 11-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1116.MA.UN,"Population, ages 11-16, male","Population, ages 11-16, male is the total number of males age 11-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1116.TO.UN,"Population, ages 11-16, total","Population, ages 11-16, total is the total population age 11-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1117.FE.UN,"Population, ages 11-17, female","Population, ages 11-17, female is the total number of females age 11-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1117.MA.UN,"Population, ages 11-17, male","Population, ages 11-17, male is the total number of males age 11-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1117.TO.UN,"Population, ages 11-17, total","Population, ages 11-17, total is the total population age 11-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1118.FE.UN,"Population, ages 11-18, female","Population, ages 11-18, female is the total number of females age 11-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1118.MA.UN,"Population, ages 11-18, male","Population, ages 11-18, male is the total number of males age 11-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1118.TO.UN,"Population, ages 11-18, total","Population, ages 11-18, total is the total population age 11-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1215.FE.UN,"Population, ages 12-15, female","Population, ages 12-15, female is the total number of females age 12-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1215.MA.UN,"Population, ages 12-15, male","Population, ages 12-15, male is the total number of males age 12-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1215.TO.UN,"Population, ages 12-15, total","Population, ages 12-15, total is the total population age 12-15.",UNESCO Institute for Statistics (Derived)
SP.POP.1216.FE.UN,"Population, ages 12-16, female","Population, ages 12-16, female is the total number of females age 12-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1216.MA.UN,"Population, ages 12-16, male","Population, ages 12-16, male is the total number of males age 12-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1216.TO.UN,"Population, ages 12-16, total","Population, ages 12-16, total is the total population age 12-16.",UNESCO Institute for Statistics (Derived)
SP.POP.1217.FE.UN,"Population, ages 12-17, female","Population, ages 12-17, female is the total number of females age 12-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1217.MA.UN,"Population, ages 12-17, male","Population, ages 12-17, male is the total number of males age 12-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1217.TO.UN,"Population, ages 12-17, total","Population, ages 12-17, total is the total population age 12-17.",UNESCO Institute for Statistics (Derived)
SP.POP.1218.FE.UN,"Population, ages 12-18, female","Population, ages 12-18, female is the total number of females age 12-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1218.MA.UN,"Population, ages 12-18, male","Population, ages 12-18, male is the total number of males age 12-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1218.TO.UN,"Population, ages 12-18, total","Population, ages 12-18, total is the total population age 12-18.",UNESCO Institute for Statistics (Derived)
SP.POP.1316.FE.UN,"Population, ages 13-16, female","Population, ages 13-16, female is the total number of females age 13-16.",UNESCO Institute for Statistics (Derived)
